month_start,subscriber_count,subscriber_count_with_card,book_event_count,book_event_per_member_with_card,estimated_book_event_count
1924-01-01,210,23,56,2.4347826086956523,598.3452616618446
1924-02-01,207,23,45,1.9565217391304348,589.7974722095324
1924-03-01,204,25,56,2.24,581.2496827572204
1924-04-01,210,25,62,2.48,598.3452616618446
1924-05-01,186,22,41,1.8636363636363635,529.962946043348
1924-06-01,173,19,45,2.3684210526315788,492.92252508332905
1924-07-01,167,21,55,2.619047619047619,475.826946178705
1924-08-01,160,22,39,1.7727272727272727,455.8821041233101
1924-09-01,161,23,50,2.1739130434782608,458.7313672740808
1924-10-01,174,22,51,2.3181818181818183,495.7717882340998
1924-11-01,176,24,52,2.1666666666666665,501.47031453564114
1924-12-01,179,25,62,2.48,510.01810398795317
1925-01-01,180,27,51,1.8888888888888888,512.8673671387239
1925-02-01,184,30,42,1.4,524.2644197418066
1925-03-01,187,30,64,2.1333333333333333,532.8122091941187
1925-04-01,199,32,45,1.40625,567.003367003367
1925-05-01,190,32,48,1.5,541.3599986464308
1925-06-01,170,31,53,1.7096774193548387,484.37473563101696
1925-07-01,167,34,37,1.088235294117647,475.826946178705
1925-08-01,148,30,25,0.8333333333333334,421.6909463140619
1925-09-01,159,30,32,1.0666666666666667,453.0328409725394
1925-10-01,194,29,52,1.793103448275862,552.7570512495136
1925-11-01,219,31,63,2.032258064516129,623.9886300187808
1925-12-01,228,36,88,2.4444444444444446,649.6319983757169
1926-01-01,231,36,71,1.9722222222222223,658.1797878280289
1926-02-01,214,30,70,2.3333333333333335,609.7423142649272
1926-03-01,200,32,118,3.6875,569.8526301541376
1926-04-01,204,36,142,3.9444444444444446,581.2496827572204
1926-05-01,199,36,62,1.7222222222222223,567.003367003367
1926-06-01,191,33,37,1.121212121212121,544.2092617972015
1926-07-01,185,32,52,1.625,527.1136828925773
1926-08-01,161,25,54,2.16,458.7313672740808
1926-09-01,175,25,53,2.12,498.62105138487044
1926-10-01,183,26,78,3.0,521.415156591036
1926-11-01,176,25,108,4.32,501.47031453564114
1926-12-01,173,26,76,2.923076923076923,492.92252508332905
1927-01-01,168,28,54,1.9285714285714286,478.6762093294756
1927-02-01,159,27,49,1.8148148148148149,453.0328409725394
1927-03-01,166,28,51,1.8214285714285714,472.97768302793423
1927-04-01,170,25,61,2.44,484.37473563101696
1927-05-01,163,27,62,2.2962962962962963,464.42989357562215
1927-06-01,150,29,52,1.793103448275862,427.38947261560327
1927-07-01,140,24,34,1.4166666666666667,398.89684110789636
1927-08-01,136,22,47,2.1363636363636362,387.49978850481364
1927-09-01,139,25,52,2.08,396.04757795712567
1927-10-01,139,22,53,2.409090909090909,396.04757795712567
1927-11-01,144,28,70,2.5,410.2938937109791
1927-12-01,144,27,77,2.8518518518518516,410.2938937109791
1928-01-01,121,27,61,2.259259259259259,344.76084124325325
1928-02-01,85,24,82,3.4166666666666665,242.18736781550848
1928-03-01,106,22,38,1.7272727272727273,302.0218939816929
1928-04-01,134,26,46,1.7692307692307692,381.8012622032722
1928-05-01,152,27,35,1.2962962962962963,433.0879989171446
1928-06-01,141,27,72,2.6666666666666665,401.74610425866706
1928-07-01,125,23,39,1.6956521739130435,356.15789384633604
1928-08-01,111,17,34,2.0,316.2682097355464
1928-09-01,119,19,36,1.894736842105263,339.0623149417119
1928-10-01,154,22,58,2.6363636363636362,438.786525218686
1928-11-01,164,22,75,3.409090909090909,467.2791567263929
1928-12-01,154,19,79,4.157894736842105,438.786525218686
1929-01-01,155,17,84,4.9411764705882355,441.6357883694567
1929-02-01,159,22,80,3.6363636363636362,453.0328409725394
1929-03-01,170,23,87,3.782608695652174,484.37473563101696
1929-04-01,187,27,90,3.3333333333333335,532.8122091941187
1929-05-01,171,27,81,3.0,487.2239987817877
1929-06-01,149,24,63,2.625,424.5402094648325
1929-07-01,132,25,59,2.36,376.10273590173085
1929-08-01,122,20,46,2.3,347.610104394024
1929-09-01,122,18,43,2.388888888888889,347.610104394024
1929-10-01,133,19,65,3.4210526315789473,378.95199905250155
1929-11-01,134,21,66,3.142857142857143,381.8012622032722
1929-12-01,146,24,57,2.375,415.9924200125205
1930-01-01,120,23,59,2.5652173913043477,341.91157809248256
1930-02-01,79,19,47,2.473684210526316,225.09178891088436
1930-03-01,68,21,69,3.2857142857142856,193.74989425240682
1930-04-01,55,22,52,2.3636363636363638,156.70947329238786
1930-05-01,37,17,40,2.3529411764705883,105.42273657851547
1930-06-01,51,20,40,2.0,145.3124206893051
1930-07-01,50,17,63,3.7058823529411766,142.4631575385344
1930-08-01,38,17,72,4.235294117647059,108.27199972928615
1930-09-01,25,14,44,3.142857142857143,71.2315787692672
1930-10-01,25,13,61,4.6923076923076925,71.2315787692672
1930-11-01,25,13,54,4.153846153846154,71.2315787692672
1930-12-01,25,14,85,6.071428571428571,71.2315787692672
1931-01-01,34,14,71,5.071428571428571,96.87494712620341
1931-02-01,41,14,51,3.642857142857143,116.81978918159822
1931-03-01,35,13,50,3.8461538461538463,99.72421027697409
1931-04-01,28,12,42,3.5,79.77936822157928
1931-05-01,24,12,76,6.333333333333333,68.38231561849652
1931-06-01,21,11,41,3.727272727272727,59.83452616618445
1931-07-01,20,12,55,4.583333333333333,56.985263015413764
1931-08-01,21,12,47,3.9166666666666665,59.83452616618445
